team,_1958,_1962,_1970,_1994,_2002,_1950,_1998,_1938,_1978,_1974,_2014,_1954,_1990,_1966,_1982,_1986,_1934,_2006,_2010,_1930
BRA, 1, 1, 1, 1, 1, 2, 2, 3, 3, 4, 4,,,,,,,,,
GER, 4,, 3,, 2,,,,, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3,
ITA,,, 2, 2,,,, 1, 4,,,, 3,, 1,, 1, 1,,
ARG,,,,,,,,, 1,, 2,, 2,,, 1,,,, 2
URU,,, 4,,, 1,,,,,, 4,,,,,,, 4, 1
FRA, 3,,,,,, 1,,,,,,,, 4, 3,, 2,,
ENG,,,,,,,,,,,,, 4, 1,,,,,,
ESP,,,,,, 4,,,,,,,,,,,,, 1,
NED,,,,,,, 4,, 2, 2, 3,,,,,,,, 2,
TCH,, 2,,,,,,,,,,,,,,, 2,,,
HUN,,,,,,,, 2,,,, 2,,,,,,,,
SWE, 2,,, 3,, 3,, 4,,,,,,,,,,,,
POL,,,,,,,,,, 3,,,,, 3,,,,,
AUT,,,,,,,,,,,, 3,,,,, 4,,,
POR,,,,,,,,,,,,,, 3,,,, 4,,
USA,,,,,,,,,,,,,,,,,,,, 3
CHI,, 3,,,,,,,,,,,,,,,,,,
CRO,,,,,,, 3,,,,,,,,,,,,,
TUR,,,,, 3,,,,,,,,,,,,,,,
YUG,, 4,,,,,,,,,,,,,,,,,, 4
URS,,,,,,,,,,,,,, 4,,,,,,
BEL,,,,,,,,,,,,,,,, 4,,,,
BUL,,,, 4,,,,,,,,,,,,,,,,
KOR,,,,, 4,,,,,,,,,,,,,,,
